Year,Revenue,Net income,Operating income,Operating cash flow,Capital expenditures,Free cash flow,Cash and investments,Total debt,Total assets,Shareholders equity,Diluted shares,Earnings per share,Dividends,Share repurchases
2011,108249,25922,33790,37529,4260,33269,81570,0,116371,76615,26505,0.99,0,0
2012,156508,41733,55241,50856,8295,42561,121251,0,176064,118210,26470,1.58,2488,0
2013,170910,37037,48999,53666,8165,45501,146761,16960,207000,123549,26086,1.42,10564,22860
2014,182795,39510,52503,59713,9571,50142,155239,35295,231839,111547,24342,1.61,11126,45000
2015,233715,53394,71230,81266,11247,70019,205666,64462,290345,119355,23172,2.31,11413,35253
2016,215639,45687,60024,65824,12734,53090,237585,87032,321686,128249,21883,2.08,12150,29217
2017,229234,48351,61344,63598,12451,51147,268895,115680,375319,134047,21007,2.3,12769,32900
2018,265595,59531,70898,77434,13313,64121,237100,114483,365725,107147,20000,2.98,13712,72738
2019,260174,55256,63930,69391,10495,58896,205898,108047,338516,90488,18596,2.97,14119,66897
2020,274515,57411,66288,80674,7309,73365,191830,112436,323888,65339,17352,3.28,14081,72358
2021,365817,94680,108949,104038,11085,92953,190515,124719,351002,63090,16701,5.61,14467,85971
2022,394328,99803,119437,122151,10708,111443,169109,120069,352755,50672,16326,6.11,14841,89402
2023,383285,96995,114301,110543,10959,99584,162099,111088,352583,62146,15813,6.13,15025,77550
2024,391035,93736,123216,118254,9564,108690,156650,101235,364980,56950,15408,6.08,15200,81500
2025,416161,112010,133050,111482,12715,98767,132420,96500,359241,73733,15005,7.46,15600,85000
